,spelling,phonetic,plurality,thirdpp,present_participle,past_tense,past_participle,explains
218,banana,bəˈnɑːnə,bananas,,,,,"['n. 香蕉；喜剧演员', 'n. （Banana）巴纳"
219,banker,ˈbæŋkə(r),bankers,,,,,"['n. 银行家，银行要员；庄家；稳赢的赌注；捕鳕渔船；水涨齐岸的河流；辅动机车', '【名】 （Banker）（英、塞）班克（人名）']"
220,banking,ˈbæŋkɪŋ,,,,,,"['n. 银行业；银行业务；银行家的职业；筑堤', 'v. 把钱存入银行；做银行家；在……边筑堤（bank 的现在分词）']"
221,banknote,ˈbæŋknəʊt,banknotes,,,,,['n. 钞票，纸币']
222,bankruptcy,ˈbæŋkrʌptsi,bankruptcies,,,,,['n. 道德的沦丧；破产，倒闭']
223,barometer,bəˈrɒmɪtə(r),barometers,,,,,['n. 气压计，晴雨表；变化的标志，指标']
224,barracks,ˈbærəks,,,,,,"['n. 兵营，营房；（一片）简陋的大房子', 'v. 喝倒彩，起哄；为（士兵）提供营房（barrack 的第三人称单数形式）']"
225,basically,ˈbeɪsɪkli,,,,,,['adv. 基本上，大体上；从根本上说，总的说来']
226,bass,beɪs,bass或basses,,,,,"['n. 男低音歌手；低音，低音部；低音吉他，低音提琴；鲈鱼；椴树', 'adj. 低音的，低声调的', '【名】 （Bass）（英、法、德、俄、罗、捷、马里、匈）巴斯（人名）']"
227,bathroom,ˈbɑːθruːm; ˈbɑːθrʊm,bathrooms,,,,,['n. 浴室，盥洗室；<美>卫生间，厕所；（尤指成套出售的）浴室用具']
228,batter,ˈbætə(r),batters,batters,battering,battered,battered,"['v. 接连猛打；殴打，毒打；肆虐，严重破坏；抨击，责难；给……裹面糊；（墙等的）向后倾斜', 'n. 面糊（煎料），面团；击球员；（墙等的）向后倾斜；（活字或铅版的）字面磨损处', '【名】 （Batter）（英、美、加）巴特尔（人名）']"
229,bbq,ˈbɑːbɪkjuː,,,,,,['abbr. 烧烤炉；野外烧烤（barbecue）']
230,be,bi,,is,being,was或were,been,"['aux. 被（用于被动语态）；正，正在（用于进行时）', 'vt. 是； 有，存在； 做，成为； 发生', 'n. （Be）（缅）拜；（日）部（姓）；（朝）培；（中非）贝（人名）']"
231,bead,biːd,beads,beads,beading,beaded,beaded,"['n. （有孔的）珠子；（液体的）小滴；（枪的）圆形准星；（轮胎的）胎圈，胎边；凸圆线脚；念珠', 'v. 缀珠状物于；把（"
232,beak,biːk,beaks,,,,,"['n. 鸟嘴，喙；鹰鈎鼻，尖鼻；<旧>法官，男教师', '【名】 （Beak）（英、西）比克（人名）']"
233,beautify,ˈbjuːtɪfaɪ,,beautifies,beautifying,beautified,beautified,['v. 使美丽，美化']
234,because,"bɪˈkəz, bɪˈkɒz",,,,,,['conj. （说明原因）因为，由于；（作出解释）因为']
235,become,bɪˈkʌm,,becomes,becoming,became,become,['v. 变得，变成，成为；适合，使显得漂亮']
236,bed,bed,beds,beds,bedding,bedded,bedded,"['n. 床，床铺，床位；底部，基座；花坛，苗圃；海底，河床；岩层；（车辆的）拖斗', 'v. 把……固定，嵌入；与（某人）上床']"
237,bedding,ˈbedɪŋ,,,,,,"['n. 床上用品，寝具；（给动物铺窝的）垫子；花坛植物；底层，基层；（岩石的）层理', 'adj. 适于花坛种植的', 'v. 把……固定，嵌入；与（某人）上床（bed 的现在分词形式）']"
238,beetle,ˈbiːtl,beetles,beetles,beetling,beetled,beetled,"['n. 甲虫；<英>画甲虫，拼甲虫（一种掷骰子游戏）；大槌；捶布机；（大众汽车公司生产的）甲壳虫汽车（Beetle）', 'v. 匆匆地走；（人的眉毛）突出，悬垂；用大槌捶；用捶布机捶（布）', 'adj. （人的眉毛）粗浓而突出', '【名】 （Beetle）（美）比特尔（人名）']"
239,beg,beɡ,,begs,begging,begged,begged,"['v. 乞求，恳求；乞讨，行乞；（狗）作乞求状', '【名】 （Beg）（德、塞、巴基）贝格（人名）']"
240,beggar,ˈbeɡə(r),beggars,beggars,beggaring,beggared,beggared,"['n. 乞丐，叫花子；<英，非正式>家伙', 'v. 使贫穷，使匮乏；难以相信，无法相容']"
241,behavioral,bɪˈheɪvjərəl,,,,,,['adj. 行为的']
242,behaviour,bɪˈheɪvjə(r),behaviours,,,,,['n. 行为，举止，态度；活动方式，特点，特性；习惯']
243,behavioural,bɪˈheɪvjər(ə)l,,,,,,['adj. 行为的，行为上的，行为研究的']
244,beneficiary,ˌbenɪˈfɪʃəri,beneficiaries,,,,,"['n. 受益者，受惠人；遗嘱受益人；封臣', 'adj. 拥有封地的，受圣俸的']"
245,benevolence,bəˈnevələns,,,,,,['n. 慈善，仁慈']
246,berry,ˈberi,berries,berries,berrying,berried,berried,"['n. 浆果，莓；果仁，果核；虾子，鱼子；无核浆果', 'vi. 采集浆果', '【名】 （Berry）（法、英、德、意、葡）贝里，（匈）拜里（人名）']"
247,best,best,best,bests,besting,bested,bested,"['adj. 最好的，最出色的；最愉快的，最幸福的；最合适的，最恰当的', 'adv. 最，最高程度地；最出色地，最高标准地；最适合地，最恰当地', 'n. 最好的事物（或人）；（人或事物所能达到的）最高标准；最合乎要求的事物；（个人的）最高水平，最高纪录；最好的衣服，盛装；<美>（书信结尾的）良好祝愿', 'v. 打败，胜过', '【名】 （Best）（美、德、爱）贝斯特（人名）']"
248,best-seller,ˌbest ˈselə(r),,,,,,['n. 畅销书；畅销唱片']
249,best-selling,,,,,,,['adj. 畅销的，抢手的；畅销书的']
250,betrayal,bɪˈtreɪəl,betrayals,,,,,['n. 背叛，出卖']
251,better,ˈbetə(r),,,,,,"['adj. 较好的，更好的；能力更强的，更熟练的；（健康状况）好转的，康复的；更合适的，更得体的', 'adv. 较好地，更好地；更，更大程度上；更妥，更恰当', 'n. 更好的事物，较好者；更好的表现，更好的待遇；<旧>上司，比自己能力强的人；打赌者（=bettor）', 'v. 超过，胜过；改善，改进', 'pron. 更大成就，更好待遇，更好行为', '【名】 （Better）（美、法、俄）贝特尔（人名）']"
252,between,bɪˈtwiːn,,,,,,"['prep. （空间上）在……中间；（时间上）在……之间；（数量、重量、距离等）介于……之间；分隔着；（表示两方或多方关系）在……之间；合用，共享；通过共同努力，一起；（两人）私下间；往返于', 'adv. （空间或时间上）介于……之间（in between）']"
253,bewilderment,bɪˈwɪldəmənt,,,,,,['n. 困惑，迷惘']
254,bible,ˈbaɪb(ə)l,bibles,,,,,['n. 权威著作，宝典；《圣经》（the Bible）；一本《圣经》，《圣经》的一个版本']
255,biblical,ˈbɪblɪkl,,,,,,['adj. 《圣经》中的，有关《圣经》的；宏大的，大规模的']
256,bike,baɪk,bikes,bikes,biking,biked,biked,"['n. 自行车，脚踏车，单车；摩托车；荡妇', 'v. <非正式>骑自行车（单车）；<英> 用自行车（或摩托车）投递（信件，包裹）；<英>用自行车（或摩托车）投递（信件，包裹）', 'n. （Bike)（土、土库、塞）比克']"
257,bilateral,ˌbaɪˈlætərəl,,,,,,['adj. 双方的，双边的；（身体部位）两侧的，（大脑）两半球的']
258,billionaire,ˌbɪljəˈneə(r),billionaires,,,,,['n. 亿万富翁']
259,binoculars,bɪˈnɒkjələz,,,,,,['n. 双筒望远镜']
260,biochemical,ˌbaɪəʊˈkemɪkl,,,,,,"['adj. 生物化学的', 'n. 生物化学物质']"
261,biochemist,ˌbaɪəʊˈkemɪst,biochemists,,,,,['n. 生物化学家']
262,biochemistry,ˌbaɪəʊˈkemɪstri,biochemistries,,,,,['n. 生物化学；生物化学过程；生物的化学结构和特性']
263,biographer,baɪˈɒɡrəfə(r),biographers,,,,,['n. 传记作者']
264,biographical,ˌbaɪəˈɡræfɪkl,,,,,,['adj. 传记的，生平的']
265,biological,ˌbaɪəˈlɒdʒɪk(ə)l,biologicals,,,,,['adj. 生物的，生物学的，生命的；亲生的；含酶的；生化武器的']
266,biologist,baɪˈɒlədʒɪst,biologists,,,,,['n. 生物学家']
267,biotechnology,ˌbaɪəʊtekˈnɒlədʒi,,,,,,['n. 生物技术，生物工艺（学）']
268,bishop,ˈbɪʃəp,bishops,,,,,['n. （基督教的）主教；（国际象棋中的）象']
269,bitch,bɪtʃ,bitches,bitches,bitching,bitched,bitched,"['n. 母狗；<非正式>泼妇；<非正式>棘手的事；<非正式>抱怨，牢骚', 'v. <非正式>发牢骚；<非正式>诽谤，口出恶言', '【名】 （Bitch）（法）比奇（人名）']"
270,blessing,ˈblesɪŋ,blessings,,,,,"['n. 幸事，福祉；支持，赞同；上帝的恩宠，祝福；祷告，祈祷', 'v. 求上帝保佑，祝福；祝圣，使圣洁；赞美上帝（bless 的现在分词形式）', '【名】 （Blessing）（英、德）布莱辛（人名）']"
271,blink,blɪŋk,blinks,blinks,blinking,blinked,blinked,"['v. 眨（眼）；（灯）闪烁；表示惊讶，显出不安；退让，让步', 'n. 眨眼；片刻的犹豫，举棋不定；（光的）瞬间闪烁', '【名】 （Blink）（德）布林克（人名）']"
272,bloc,,,,,,,
273,blog,blɒɡ,blogs,blogs,blogging,blogged,blogged,"['n. 网络日志，博客', 'v. 写博客']"
274,blond,blɒnd,blonds,,,,,"['adj. （多指毛发）亚麻色的，金黄色的；（尤指人种）白肤金发的；浅色的；（多指毛发）亚麻色的，金黄色的，浅茶褐色的', 'n. 长着金发的人；（毛发）金黄色，浅茶褐色', '【名】 （Blond）（英、西）布朗德；（法）布隆；（德）布隆德（人名）']"
275,blonde,blɒnd,blondes,,,,,"['adj. 金黄色的，浅棕色的；金发的；浅色的', 'n. 长着金发的人']"
276,boastful,ˈbəʊstfl,,,,,,['adj. 自吹自擂的，自夸的']
277,bodily,ˈbɒdɪli,,,,,,"['adj. 人体的，身体的，躯体的；（与精神相对的）物质的，实体的', 'adv. 整个身体地，全身地；整个地，完全地；亲自地', '【名】 （Bodily）（英、美）博迪利（人名）']"
278,boiler,ˈbɔɪlə(r),boilers,,,,,['n. 汽锅，锅炉；烧水装置（或容器）']
279,bony,ˈbəʊni,,,,,,"['adj. 骨瘦如柴的；似骨的，骨制的；多骨的，多刺的', '【名】 （Bony）（法）博尼（人名）']"
280,botanical,bəˈtænɪk(ə)l,botanicals,,,,,"['adj. 植物（学）的', 'n. 植物制剂']"
281,both,bəʊθ,,,,,,"['det. 双方，两者', 'pron. 两者', 'conj. …和…都；……和……都', 'adj. 两…，双…']"
282,boxing,ˈbɒksɪŋ,,,,,,"['n. 拳击（运动）', 'v. 将……装入盒中（box 的现在分词形式）']"
283,boy,bɔɪ,,,,,,"['n. 男孩；儿子；男青年，小伙子；男性朋友们，一群男伙伴（the boys）；一群从事同一职业的男子（boys）；（从事某一职业的）男子；小家伙（用于称呼雄性的狗或马）；伙计（尤用于亲切谈论某人时）；（尤指在战场上作战的）士兵，战友；指称某地等的人；运动队队员（the boys）；小子（对黑人男性的冒犯语）', 'int. （尤用于表示羡慕或兴奋）好家伙，好样的', '【名】 （Boy）（美、印、法、荷）布瓦（人名）']"
284,brand-new,ˌbrænd ˈnjuː,,,,,,['adj. 崭新的，未用过的；最近获得的']
285,bravery,ˈbreɪvəri,braveries,,,,,"['n. 勇敢的行为（态度），勇气', '【名】 （Bravery）（英）布雷弗里，（法）布拉韦里（人名）']"
286,breakthrough,ˈbreɪkθruː,breakthroughs,,,,,['n. 突破，重大进展']
287,brewery,ˈbruːəri,breweries,,,,,['n. 啤酒厂，啤酒公司']
288,bribery,ˈbraɪbəri,briberies,,,,,['n. 贿赂，受贿']
289,bridegroom,ˈbraɪdɡruːm,bridegrooms,,,,,['n. 新郎，即将（或刚）结婚的男子']
290,briefing,ˈbriːfɪŋ,briefings,,,,,"['n. 情况介绍会；简报；详细指示，详情介绍', 'v. 给……指示，向……介绍情况（brief 的现在分词形式）']"
291,brigade,brɪˈɡeɪd,brigades,brigades,brigading,brigaded,brigaded,"['n. （军队的）旅；队，派，帮', 'v. 把……编成旅（或大队）；使结合，与……有联系']"
292,brighten,ˈbraɪtn,,brightens,brightening,brightened,brightened,"['v. 使明亮，使鲜艳；开颜，高兴；（使）好转，（使）变得乐观；使生色，为……增辉添彩；放晴', '【名】 （Brighten）（英）布赖滕（人名）']"
293,brilliance,ˈbrɪliəns,,,,,,['n. 才华，聪慧；光亮，光辉']
294,broadcast,ˈbrɔːdkɑːst,broadcasts,broadcasts,broadcasting,broadcast或broadcasted,broadcast或broadcasted,"['v. 散布，传播（信息等）；播撒（种子等）；广播，播送', 'n. 电视节目，广播节目；广播，播出', 'adj. （无线电，电视）节目，播送', 'adv. 四散地，撒播地']"
295,broaden,ˈbrɔːdn,,broadens,broadening,broadened,broadened,['v. 增长（经验、知识等）；变宽，变阔；（使）扩大影响']
296,broke,brəʊk,,,,,,"['adj. <非正式>身无分文的，一文不名的', 'v. 弄坏；打碎；违反（break 的过去式形式）', '【名】 （Broke）（美、印、俄、德）布罗克（人名）']"
297,browser,ˈbraʊzə(r),browsers,,,,,['n. 浏览器；逛商店的人，浏览书报者；吃高处草木的动物']
298,brunch,brʌntʃ,brunches,brunches,brunching,brunched,brunched,['n. 早午餐']
299,brutality,bruːˈtæləti,brutalities,,,,,['n. 残忍，野蛮']
300,buddhism,ˈbʊdɪzəm,,,,,,['n. 佛教']
301,buddhist,ˈbʊdɪst,,,,,,"['n. 佛教徒', 'adj. 佛教的，佛的']"
302,buddy,ˈbʌdi,buddies,buddies,buddying,buddied,buddied,"['n. <非正式>朋友；<美，非正式>老兄，兄弟；伙伴，搭档', 'v. 与……成为朋友，与……结交', 'adj. 讲述友情的', '【名】 （Buddy）（英）巴迪（人名）']"
303,budgetary,ˈbʌdʒɪtəri,,,,,,['adj. 预算的']
304,buffalo,ˈbʌfələʊ,buffalo或buffaloes或buffalos,buffaloes,buffaloing,buffaloed,buffaloed,"['n. 野牛，犎牛；水牛；牛胭鱼', 'v. 为难，使困惑；<美，非正式>吓唬，威吓', '【名】 （Buffalo）（英）布法罗（人名）']"
305,bulky,ˈbʌlki,,,,,,['adj. 笨重的，庞大的；大块头的，高大肥胖的']
306,bulletin,ˈbʊlətɪn,bulletins,bulletins,bulletining,bulletined,bulletined,['n. （广播或电视中的）新闻简报；公告，布告；（机构或社团的）通讯，刊物']
307,bumper,ˈbʌmpə(r),bumpers,bumpers,bumpering,bumpered,bumpered,"['n. （车辆）保险杠；<古>大满杯敬酒；（为跳栏或障碍赛作准备的）新马平地赛；<旧>（板球）反弹球；广告时段；<非正式>烟头', 'adj. 丰收的，丰盛的；巨大的，大号的', 'v. 满杯祝酒；干杯；装满']"
308,bureaucrat,ˈbjʊərəkræt,bureaucrats,,,,,['n. 官僚，官僚主义者']
309,bureaucratic,ˌbjʊərəˈkrætɪk,,,,,,['adj. 官僚的，官僚政治的']
310,burger,ˈbɜːɡə(r),,,,,,"['n. 汉堡包，夹心牛肉饼；（类似汉堡包的）馅饼', '【名】 （Burger）（西）布尔赫尔，(法)比尔热，(英)伯格，（德、罗、捷、塞、匈）布格尔（人名）']"
311,burglary,ˈbɜːɡləri,burglaries,,,,,['n. 入室盗窃，入室盗窃罪']
312,bushy,ˈbʊʃi,bushies,,,,,['adj. （毛发或枝叶）浓密的，茂密的']
313,businessman,ˈbɪznəsmæn; ˈbɪznəsmən,businessmen,,,,,['n. 商人']
314,but,bət,,,,,,"['conj. 而，相反；（用于表示歉意）但是；可是（用来提出异议）；除了；（与重复词连用，表示强调）', 'prep. 除了，除……外', 'adv. 仅仅，只是', 'n. 借口，托词', '【名】 （But）（俄、罗）布特，（越）笔（人名）']"
315,buyer,ˈbaɪə(r),buyers,,,,,"['n. 买主；采购员', 'n. （Buyer）人名；（英）拜尔；（法）比耶；（德）布耶尔']"
316,buzz,bʌz,buzzes,buzzes,buzzing,buzzed,buzzed,"['v. 发嗡嗡声，发蜂鸣声；匆忙走动；充满嘈杂声；充满想法；繁忙，充满活力；<非正式>给（某人）打电话；<非正式>（飞机）低空飞过；（用蜂鸣器）呼叫', 'n. 嗡嗡声，蜂鸣声；叽叽喳喳声，嘈杂声；<非正式>兴奋，快乐；热闹有趣的气氛，时尚氛围；<非正式>电话；<非正式>流言，传闻', 'adj. （词语、想法或活动）时髦的', '【名】 （Buzz）（美、印、俄）巴兹（人名）']"
317,cafe,ˈkæfeɪ,cafes,,,,,['n. 咖啡馆；小餐馆']
318,calculation,ˌkælkjuˈleɪʃn,calculations,,,,,['n. 计算，运算；估算，预测；算计，盘算']
319,calculator,ˈkælkjuleɪtə(r),calculators,,,,,['n. 计算器']
320,calf,kɑːf,calves或calfs,,,,,['n. 小牛，牛犊；腓肠，小腿肚；（象、鲸等的）崽，幼兽；浮冰，幼冰']
321,call,kɔːl,calls,calls,calling,called,called,"['v. 给……取名；称呼，把……唤作；把……看作，把……算作；呼喊（某人），喊，叫；安排，召集；召唤，呼唤；传唤（证人）；（给……）打电话；打电话叫……来；点（名），从（清单上）读出；（通过广播）呼叫（飞机乘客登机）；感召，敦促；批评，辱骂；（动物）啼叫，鸣叫；（模仿动物的叫声）把……引过来；（尤指短暂的）拜访，造访；（火车、船、公共汽车等）短暂停留；预测，推测；抛硬币说正反面；（比赛中裁判等）判定；（棒球比赛等因条件限制而）停止，取消；指挥，决定（进攻战术）；向跳方形舞（或乡村舞）的人喊出（舞步）；（扑克牌下同等赌注）叫（对方）摊牌，叫牌；执行子程序命令', 'n. 打电话，通话；喊叫，呼叫；（鸟或动物的）叫声；短暂拜访，访问；号召，呼吁；需求，需要；需要关注或努力的事；召唤，使命感；吸引力，魅力；登机广播，登机（上车）通知；（做某事的）号声；模仿（鸟、兽）的叫声；模仿鸟叫声的哨子； 决定，抉择；（体育比赛中的）裁定，判决；叫牌，吊牌；掷钱币猜正反面；（方形舞的）舞步指示；（借款或未付款的）催交；（股票）买入期权，购买选择权（call option 的简称）；执行子程序的命令', '【名】 （瑞典、罗）卡尔，（英）考尔（人名）']"
